[0.080000000000000002, u'article secure jurisdiction']
[0.080000000000000002, u'breach article 13']
[0.080000000000000002, u'bulgaria judgment strasbourg']
[0.080000000000000002, u'casadevall registrar president']
[0.080000000000000002, u'case having regard']
[0.080000000000000002, u'contracting parties undertake']
[0.080000000000000002, u'convention respect respondent']
[0.080000000000000002, u'damage caused unlawful']
[0.080000000000000002, u'date final decision']
[0.080000000000000002, u'demonstrate capacity enforce']
[0.080000000000000002, u'dispute facts presented']
[0.080000000000000002, u'entails duty state']
[0.080000000000000002, u'entitled fair hearing']
[0.080000000000000002, u'establish costs expenses']
[0.080000000000000002, u'europe value added']
[0.080000000000000002, u'extent possible risk']
[0.080000000000000002, u'fran\xe7oise tulkens president']
[0.080000000000000002, u'ill treatment police']
[0.080000000000000002, u'individual life risk']
[0.080000000000000002, u'inferences foundedness applicant']
[0.080000000000000002, u'judges mrs doll\xe9']
[0.080000000000000002, u'judgments decisions 1996']
[0.080000000000000002, u'judicial required article']
[0.080000000000000002, u'kingdom government government']
[0.080000000000000002, u'legal demonstrate capacity']
[0.080000000000000002, u'mr berger section']
[0.080000000000000002, u'nature documents grounds']
[0.080000000000000002, u'necessary persons responsible']
[0.080000000000000002, u'obligation prosecutions result']
[0.080000000000000002, u'obligations arising article']
[0.080000000000000002, u'observations merits case']
[0.080000000000000002, u'occurred way situation']
[0.080000000000000002, u'originated applications russian']
[0.080000000000000002, u'particular sentence national']
[0.080000000000000002, u'payment compensation appropriate']
[0.080000000000000002, u'pecuniary damage ii']
[0.080000000000000002, u'persons enforced disappearance']
[0.080000000000000002, u'procedure court observes']
[0.080000000000000002, u'prosecutions result conviction']
[0.080000000000000002, u'provided information concerning']
[0.080000000000000002, u'regard context incident']
[0.080000000000000002, u'responsibility respondent state']
[0.080000000000000002, u'rise issue article']
[0.080000000000000002, u'solely respondent government']
[0.080000000000000002, u'strong clear concordant']
[0.080000000000000002, u'tolerance unlawful acts']
[0.080000000000000002, u'use force disproportionate']
[0.080000000000000002, u'view foregoing court']
[0.080000000000000002, u'violation procedural aspect']
[0.080000000000000002, u'weight attached elements']
[0.080000000000000002, u'years events question']
[0.070000000000000007, u'000 fifty thousand']
[0.070000000000000007, u'13 conjunction article']
[0.070000000000000007, u'30 september 2005']
[0.070000000000000007, u'abuse rights control']
[0.070000000000000007, u'applicant questioned granted']
[0.070000000000000007, u'applicants neighbour mr']
[0.070000000000000007, u'applicants relatives died']
[0.070000000000000007, u'application judicial review']
[0.070000000000000007, u'article 29 convention']
[0.070000000000000007, u'assessment equitable basis']
[0.070000000000000007, u'attached elements circumstantial']
[0.070000000000000007, u'authorities acknowledged expressly']
[0.070000000000000007, u'capacity enforce criminal']
[0.070000000000000007, u'central bank added']
[0.070000000000000007, u'close family members']
[0.070000000000000007, u'commissioner human rights']
[0.070000000000000007, u'compensation appropriate thorough']
[0.070000000000000007, u'concerned established appropriate']
[0.070000000000000007, u'convention reads follows']
[0.070000000000000007, u'conviction particular sentence']
[0.070000000000000007, u'court unanimously holds']
[0.070000000000000007, u'dealt reasonable time']
[0.070000000000000007, u'decision open investigation']
[0.070000000000000007, u'did submit explanation']
[0.070000000000000007, u'european committee prevention']
[0.070000000000000007, u'fundamental values democratic']
[0.070000000000000007, u'having regard documents']
[0.070000000000000007, u'identifying punishing responsible']
[0.070000000000000007, u'injury objective analysis']
[0.070000000000000007, u'jurisdiction ratione temporis']
[0.070000000000000007, u'making assessment equitable']
[0.070000000000000007, u'originated application ukraine']
[0.070000000000000007, u'person lawfully detained']
[0.070000000000000007, u'place effective criminal']
[0.070000000000000007, u'possible proper effective']
