[1.0, u'procedure case originated']
[0.26500000000000001, u'law preventing appearance']
[0.26500000000000001, u'law shall deprived']
[0.26500000000000001, u'prosecutor police officers']
[0.26500000000000001, u'published official gazette']
[0.26500000000000001, u'refers case law']
[0.26500000000000001, u'rights jurisdiction adequately']
[0.26000000000000001, u'02 echr 2006']
[0.26000000000000001, u'act police officers']
[0.26000000000000001, u'court observes previous']
[0.26000000000000001, u'despite fundamental importance']
[0.26000000000000001, u'freedoms convention romanian']
[0.26000000000000001, u'manifest disproportion gravity']
[0.26000000000000001, u'response court requests']
[0.26000000000000001, u'right set forth']
[0.26000000000000001, u'ukrainian national mr']
[0.255, u'25498 94 echr']
[0.255, u'absolutely necessary defence']
[0.255, u'application rule 39']
[0.255, u'compensation non pecuniary']
[0.255, u'court held hearings']
[0.255, u'court observes rule']
[0.255, u'deprived liberty meaning']
[0.255, u'effective practice law']
[0.255, u'importance ineffective practice']
[0.255, u'kingdom netherlands lodged']
[0.255, u'law 275 2006']
[0.255, u'lawful arrest prevent']
[0.255, u'payment compensation appropriate']
[0.255, u'rights participants proceedings']
[0.255, u'rule finding violation']
[0.255, u'sufficiently clear indications']
[0.25, u'application republic bulgaria']
[0.25, u'convention protection human']
[0.25, u'evidence concerning incident']
[0.25, u'evidence establishment facts']
[0.25, u'factor taken account']
[0.25, u'fall scope article']
[0.25, u'granting amnesty pardon']
[0.25, u'justify deprivation liberty']
[0.25, u'legal assistance choosing']
[0.25, u'protraction criminal proceedings']
[0.25, u'reasonable steps secure']
[0.25, u'rise breach article']
[0.245, u'arrest detention person']
[0.245, u'court ensure state']
[0.245, u'detainee conduct diminishes']
[0.245, u'establish basis evidence']
[0.245, u'federation european court']
[0.245, u'fourteen years old']
[0.245, u'government amounts claimed']
[0.245, u'international covenant civil']
[0.245, u'necessary detainee conduct']
[0.245, u'prison rules adopted']
[0.245, u'stated investigation progress']
[0.245, u'use force absolutely']
[0.245, u'violations present case']
[0.23999999999999999, u'convicted persons shall']
[0.23999999999999999, u'criminal proceedings refused']
[0.23999999999999999, u'held police custody']
[0.23999999999999999, u'ill x2011 treated']
[0.23999999999999999, u'level severity required']
[0.23999999999999999, u'operation individual petition']
[0.23999999999999999, u'originated application ukraine']
[0.23999999999999999, u'principles international law']
[0.23999999999999999, u'shall regarded inflicted']
[0.23999999999999999, u'unacknowledged detention complete']
[0.23999999999999999, u'united nations convention']
[0.23499999999999999, u'article unless accordance']
[0.23499999999999999, u'convention violation article']
[0.23499999999999999, u'determination criminal charge']
[0.23499999999999999, u'human rights protection']
[0.23499999999999999, u'ill treated police']
[0.23499999999999999, u'including trial stage']
[0.23499999999999999, u'legal obligation article']
[0.23499999999999999, u'manifestly ill founded']
[0.23499999999999999, u'obtained proprio motu']
[0.23499999999999999, u'police officers mr']
[0.23499999999999999, u'practising sofia bulgarian']
[0.23499999999999999, u'reasonable suspicion person']
[0.23499999999999999, u'rights set forth']
[0.23499999999999999, u'support applicants allegations']
[0.23000000000000001, u'basis arguable claim']
[0.23000000000000001, u'beyo\u011flu assize court']
[0.23000000000000001, u'case law area']
[0.23000000000000001, u'established actually incurred']
[0.23000000000000001, u'medical reports failing']
[0.23000000000000001, u'object purpose convention']
[0.23000000000000001, u'parties article convention']
[0.23000000000000001, u'permanent place residence']
[0.23000000000000001, u'protect rights jurisdiction']
[0.23000000000000001, u'safeguard arbitrary exercise']
[0.23000000000000001, u'security measures applied']
[0.23000000000000001, u'state home department']
[0.23000000000000001, u'violence order effect']
[0.22500000000000001, u'article convention iv']
[0.22500000000000001, u'bearing mind principles']
[0.22500000000000001, u'case applicant born']
[0.22500000000000001, u'convention provides shall']
[0.22500000000000001, u'damage sustained result']
[0.22500000000000001, u'depart findings fact']
[0.22500000000000001, u'laid basis arguable']
[0.22500000000000001, u'law enforcement officers']
[0.22500000000000001, u'lawfully taken purpose']
[0.22500000000000001, u'mentally ill persons']
[0.22500000000000001, u'national courts choice']
[0.22500000000000001, u'opened criminal investigation']
[0.22500000000000001, u'procedural obligation investigate']
[0.22500000000000001, u'susceptible exhaustive definition']
[0.22500000000000001, u'treatment degrading meaning']
[0.22, u'13 varies depending']
[0.22, u'assessing conditions detention']
[0.22, u'convention 93 applicant']
[0.22, u'conviction competent court']
[0.22, u'detention inhuman degrading']
[0.22, u'information hands satisfactory']
[0.22, u'jurisdiction adequately discharged']
[0.22, u'law pursues legitimate']
[0.22, u'psychiatric hospital medical']
[0.215, u'29 facts circumstances']
[0.215, u'appropriate thorough effective']
[0.215, u'arises article 13']
[0.215, u'article 50 art']
