[1.0, u'date procedure case']
[0.070000000000000007, u'states afforded discretion']
[0.070000000000000007, u'status parties submissions']
[0.059999999999999998, u'33985 96 33986']
[0.059999999999999998, u'afforded discretion manner']
[0.059999999999999998, u'allowing contracting state']
[0.059999999999999998, u'ambit article protocol']
[0.059999999999999998, u'appreciation afforded state']
[0.059999999999999998, u'arrest prevent escape']
[0.059999999999999998, u'article 41 unless']
[0.059999999999999998, u'article protocol does']
[0.059999999999999998, u'article taken conjunction']
[0.059999999999999998, u'based sexual orientation']
[0.059999999999999998, u'building strasbourg july']
[0.059999999999999998, u'cases accordance procedure']
[0.059999999999999998, u'code civil procedure']
[0.059999999999999998, u'committed criminal according']
[0.059999999999999998, u'converted turkish liras']
[0.059999999999999998, u'court discretion having']
[0.059999999999999998, u'decisions acceptable assessment']
[0.059999999999999998, u'delegate commission applicant']
[0.059999999999999998, u'deputy registrar having']
[0.059999999999999998, u'escape person lawfully']
[0.059999999999999998, u'especially material determining']
[0.059999999999999998, u'european public order']
[0.059999999999999998, u'fees costs preparation']
[0.059999999999999998, u'following conviction crime']
[0.059999999999999998, u'government accepted applicant']
[0.059999999999999998, u'government contended shortcomings']
[0.059999999999999998, u'health morals protection']
[0.059999999999999998, u'impartial tribunal meaning']
[0.059999999999999998, u'intentionally save execution']
[0.059999999999999998, u'law recognised civilised']
[0.059999999999999998, u'lifestyle relevant regulatory']
[0.059999999999999998, u'limitations prescribed law']
[0.059999999999999998, u'nos 33985 96']
[0.059999999999999998, u'opinions annexed judgment']
[0.059999999999999998, u'positive negative obligations']
[0.059999999999999998, u'protecting national security']
[0.059999999999999998, u'protection health morals']
[0.059999999999999998, u'protection individual fundamental']
[0.059999999999999998, u'provides shall subjected']
[0.059999999999999998, u'quelling riot insurrection']
[0.059999999999999998, u'reads follows court']
[0.059999999999999998, u'remedy available respect']
[0.059999999999999998, u'right marry family']
[0.059999999999999998, u'rights freedoms recognised']
[0.059999999999999998, u'santiago quesada josep']
[0.059999999999999998, u'save execution sentence']
[0.059999999999999998, u'social security contributions']
[0.059999999999999998, u'state pay second']
[0.059999999999999998, u'subject conditions provided']
[0.059999999999999998, u'supreme court oberster']
[0.059999999999999998, u'taken purpose quelling']
[0.059999999999999998, u'unanimously remainder applicants']
[0.059999999999999998, u'unduly influenced considerations']
[0.059999999999999998, u'violence order effect']
[0.059999999999999998, u'willis united kingdom']
[0.050000000000000003, u'14 convention taken']
[0.050000000000000003, u'14 does presuppose']
[0.050000000000000003, u'41 unless established']
[0.050000000000000003, u'action lawfully taken']
[0.050000000000000003, u'applicants government filed']
